"","samp_name","source_mat_id","sample_alt_lab_ids","biosamples_accession","tissue_type","molecular_sex","molecular_sex_reference","samp_taxon_common","samp_taxon_ID","specific_host","latitude","longitude","geo_loc_name","site_name","sample_age","sample_age_upper","sample_age_lower","sample_age_inference_methods","c14_age","c14_age_sd","c14_lab_code","delta_13_c","delta_13_c_sd","sample_age_reference","nuclear_sequencing_platform","nuclear_library_strategy","nuclear_depth_of_coverage","nuclear_damage_treatment","nuclear_lib_strandedness","nuclear_reference","mt_sequencing_platform","mt_library_strategy","mt_targeted_region","mt_depth_of_coverage","mt_damage_treatment","mt_lib_strandedness","mt_accession","mt_reference","curator_comments","curated_by","curation_complete",".sheet"
"380","Uiv17","missing","Uiv17","SAMEA4609738","missing","F","https://doi.org/10.1126/science.aas9411","Goat","9925","Capra, Capra hircus","45.6618","20.9032","Romania","Uivar, Timişoara","7100","7200","7000","stratigraphic inference","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","ILLUMINA","WGS","not applicable","full-udg","double","https://doi.org/10.1126/science.aas9411","missing; ILLUMINA","AMPLICON; Targeted-Capture","d-loop; complete","0.95","none; full-udg","double","missing;LS992656.1","doi.org/10.1515/9783110266306.45; doi.org/10.1126/science.aas9411",NA,"Kevin","Yes","capra"
"381","Ulu38","missing","Ulu38","SAMEA4609737","missing","missing","not applicable","Goat","9925","Capra, Capra hircus","38.466745","27.352116","Turkey","Ulucak Höyük","8200","8350","8050","stratigraphic inference","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","ILLUMINA","WGS","not applicable","full-udg","double","https://doi.org/10.1126/science.aas9411","missing; ILLUMINA","AMPLICON; Targeted-Capture","d-loop; complete","0.46","none; full-udg","double","missing;LS992657.1","doi.org/10.1515/9783110266306.45; doi.org/10.1126/science.aas9411",NA,"Kevin","Yes","capra"
"382","Walie1","missing","walie1","SAMEA13853357","mandible, UBERON:0001684","M","https://doi.org/10.7554/eLife.82989","Walia ibex","509850","Capra, Capra walie","missing","missing","missing","missing","0",NA,NA,"historical records","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","ILLUMINA","WGS","0.75","full-udg","double","https://doi.org/10.7554/eLife.82989","not applicable","WGS","not applicable","103.12","not applicable","not applicable","OW568914.1","not applicable",NA,"Kevin","Yes","capra"
"383","Yarmut1","14-82; 216; 6655","KD098","SAMEA4609158","petrous part of temporal bone, UBERON_0001708","M","https://doi.org/10.1126/science.aas9411","Goat","9925","Capra, Capra hircus","31.707985","34.975283","Israel","Tel Yarmuth, Bet Shemesh","4550","4650","4450","stratigraphic inference","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","ILLUMINA","WGS","0.0013","full-udg","double","https://doi.org/10.1126/science.aas9411","ILLUMINA","Targeted-Capture","complete","40.41","full-udg","double","LS992658.1","doi.org/10.1126/science.aas9411",NA,"Kevin","Yes","capra"
"384","Yarmut7","28-87; 1109; 9542","KD104","SAMEA4609159","petrous part of temporal bone, UBERON_0001709","F","https://doi.org/10.1126/science.aas9411","Goat","9925","Capra, Capra hircus","31.707985","34.975283","Israel","Tel Yarmuth, Bet Shemesh","4400","4600","4150","stratigraphic inference","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","ILLUMINA","WGS","0.008","full-udg","double","https://doi.org/10.1126/science.aas9411","ILLUMINA","Targeted-Capture","complete","11","full-udg","double","LS992660.1","doi.org/10.1126/science.aas9411",NA,"Kevin","Yes","capra"
"385","Yoqneam2","2343; 6107","KD089","SAMEA4591771","petrous part of temporal bone, UBERON_0001710","F","https://doi.org/10.1126/science.aas9411","Goat","9925","Capra, Capra hircus","32.6641","35.1083","Israel","Tel Yoqne’am, Haifa","3550","3600","3500","stratigraphic inference","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","ILLUMINA","WGS","2.2","full-udg","double","https://doi.org/10.1126/science.aas9411","not applicable","WGS","not applicable","472.98","not applicable","not applicable","LS992659.1","not applicable",NA,"Kevin","Yes","capra"
"386","SMG04",NA,NA,"missing",NA,"M","doi.org/10.1093/molbev/msaa103","Goat","9925","Capra, Capra hircus","missing","missing","China","Shimao","3900","3900","3900","stratigraphic inference","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","ILLUMINA","WGS","0.013","none","double","doi.org/10.1093/molbev/msaa103","not applicable","WGS","not applicable","missing","not applicable","not applicable","missing","not applicable",NA,"Kevin","No","capra"
"387","SMG05",NA,NA,"missing",NA,"F","doi.org/10.1093/molbev/msaa103","Goat","9925","Capra, Capra hircus","missing","missing","China","Shimao","3900","3900","3900","stratigraphic inference","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","ILLUMINA","WGS","0.007","none","double","doi.org/10.1093/molbev/msaa103","not applicable","WGS","not applicable","missing","not applicable","not applicable","missing","not applicable",NA,"Kevin","No","capra"
"388","SMG07",NA,NA,"missing",NA,"M","doi.org/10.1126/sciadv.aaz5216","Goat","9925","Capra, Capra hircus","missing","missing","China","Shimao","3900","3900","3900","stratigraphic inference","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","ILLUMINA","WGS","0.036","none","double","doi.org/10.1126/sciadv.aaz5216","not applicable","WGS","not applicable","missing","not applicable","not applicable","missing","not applicable",NA,"Kevin","No","capra"
"389","SMG10",NA,NA,"missing",NA,"M","doi.org/10.1093/molbev/msaa103","Goat","9925","Capra, Capra hircus","missing","missing","China","Shimao","3900","3900","3900","stratigraphic inference","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","ILLUMINA","WGS","0.097","none","double","doi.org/10.1093/molbev/msaa103","not applicable","WGS","not applicable","missing","not applicable","not applicable","missing","not applicable",NA,"Kevin","No","capra"
